48,1,0.613,0.757,11,-6.574,1,0.0429,0.0841,2.23E-06,0.0926,0.303,103.97,2014,0.375769,0.464041,6.743,-4.029862,0.613,0.0262977,0.0515533,1.37E-06,0.0567638,0.185739,63.73361,1234.582,0.573049,8.327,-4.976518,0.757,0.0324753,0.0636637,1.69E-06,0.0700982,0.229371,78.70529,1524.598,121,-72.314,11,0.4719,0.9251,2.45E-05,1.0186,3.333,1143.67,22154,43.217476,-6.574,-0.2820246,-0.5528734,-1.47E-05,-0.6087524,-1.991922,-683.49878,-13240.036,1,0.0429,0.0841,2.23E-06,0.0926,0.303,103.97,2014,0.00184041,0.00360789,9.57E-08,0.00397254,0.0129987,4.460313,86.4006,0.00707281,1.88E-07,0.00778766,0.0254823,8.743877,169.3774,4.97E-12,2.06E-07,6.76E-07,0.000231853,0.00449122,0.00857476,0.0280578,9.627622,186.4964,0.091809,31.50291,610.242,10809.7609,209395.58,4056196,-47446.45118,12744.34796,0,0,1,0,2
49,1,0.43,0.602,6,-6.543,1,0.0395,0.00754,0,0.134,0.113,129.93,2014,0.1849,0.25886,2.58,-2.81349,0.43,0.016985,0.0032422,0,0.05762,0.04859,55.8699,866.02,0.362404,3.612,-3.938886,0.602,0.023779,0.00453908,0,0.080668,0.068026,78.21786,1212.428,36,-39.258,6,0.237,0.04524,0,0.804,0.678,779.58,12084,42.810849,-6.543,-0.2584485,-0.04933422,0,-0.876762,-0.739359,-850.13199,-13177.602,1,0.0395,0.00754,0,0.134,0.113,129.93,2014,0.00156025,0.00029783,0,0.005293,0.0044635,5.132235,79.553,5.69E-05,0,0.00101036,0.00085202,0.9796722,15.18556,0,0,0,0,0,0.017956,0.015142,17.41062,269.876,0.012769,14.68209,227.582,16881.8049,261679.02,4056196,5224.847025,2879.183621,0,0,1,0,0
50,1,0.744,0.783,1,-7.077,1,0.0337,0.0553,0,0.086,0.885,120.042,2014,0.553536,0.582552,0.744,-5.265288,0.744,0.0250728,0.0411432,0,0.063984,0.65844,89.311248,1498.416,0.613089,0.783,-5.541291,0.783,0.0263871,0.0432999,0,0.067338,0.692955,93.992886,1576.962,1,-7.077,1,0.0337,0.0553,0,0.086,0.885,120.042,2014,50.083929,-7.077,-0.2384949,-0.3913581,0,-0.608622,-6.263145,-849.537234,-14253.078,1,0.0337,0.0553,0,0.086,0.885,120.042,2014,0.00113569,0.00186361,0,0.0028982,0.0298245,4.0454154,67.8718,0.00305809,0,0.0047558,0.0489405,6.6383226,111.3742,0,0,0,0,0,0.007396,0.07611,10.323612,173.204,0.783225,106.23717,1782.39,14410.08176,241764.588,4056196,-14793.42134,-7247.086352,0,0,1,0,13
51,1,0.501,0.707,3,-5.619,1,0.0335,0.25,0,0.122,0.238,97.034,2014,0.251001,0.354207,1.503,-2.815119,0.501,0.0167835,0.12525,0,0.061122,0.119238,48.614034,1009.014,0.499849,2.121,-3.972633,0.707,0.0236845,0.17675,0,0.086254,0.168266,68.603038,1423.898,9,-16.857,3,0.1005,0.75,0,0.366,0.714,291.102,6042,31.573161,-5.619,-0.1882365,-1.40475,0,-0.685518,-1.337322,-545.234046,-11316.666,1,0.0335,0.25,0,0.122,0.238,97.034,2014,0.00112225,0.008375,0,0.004087,0.007973,3.250639,67.469,0.0625,0,0.0305,0.0595,24.2585,503.5,0,0,0,0,0,0.014884,0.029036,11.838148,245.708,0.056644,23.094092,479.332,9415.597156,195426.476,4056196,-61418.43168,-3487.548751,0,0,1,0,0
52,1,0.622,0.83,6,-6.155,0,0.0517,0.0324,0,0.0481,0.425,126.031,2014,0.386884,0.51626,3.732,-3.82841,0,0.0321574,0.0201528,0,0.0299182,0.26435,78.391282,1252.708,0.6889,4.98,-5.10865,0,0.042911,0.026892,0,0.039923,0.35275,104.60573,1671.62,36,-36.93,0,0.3102,0.1944,0,0.2886,2.55,756.186,12084,37.884025,0,-0.3182135,-0.199422,0,-0.2960555,-2.615875,-775.720805,-12396.17,0,0,0,0,0,0,0,0,0.00267289,0.00167508,0,0.00248677,0.0219725,6.5158027,104.1238,0.00104976,0,0.00155844,0.01377,4.0834044,65.2536,0,0,0,0,0,0.00231361,0.0204425,6.0620911,96.8734,0.180625,53.563175,855.95,15883.81296,253826.434,4056196,-2694.134866,2788.733991,0,0,1,0,0
53,1,0.63,0.883,5,-5.237,0,0.0778,0.00832,4.22E-05,0.228,0.796,164.975,2014,0.3969,0.55629,3.15,-3.29931,0,0.049014,0.0052416,2.66E-05,0.14364,0.50148,103.93425,1268.82,0.779689,4.415,-4.624271,0,0.0686974,0.00734656,3.73E-05,0.201324,0.702868,145.672925,1778.362,25,-26.185,0,0.389,0.0416,0.000211,1.14,3.98,824.875,10070,27.426169,0,-0.4074386,-0.04357184,-0.000221001,-1.194036,-4.168652,-863.974075,-10547.318,0,0,0,0,0,0,0,0,0.00605284,0.000647296,3.28E-06,0.0177384,0.0619288,12.835055,156.6892,6.92E-05,3.51E-07,0.00189696,0.00662272,1.372592,16.75648,1.78E-09,9.62E-06,3.36E-05,0.006961945,0.0849908,0.051984,0.181488,37.6143,459.192,0.633616,131.3201,1603.144,27216.75062,332259.65,4056196,76544.99027,1055.286391,0,0,1,0,0
54,1,0.649,0.869,1,-5.653,0,0.032,0.0124,0,0.0797,0.423,114.979,2014,0.421201,0.563981,0.649,-3.668797,0,0.020768,0.0080476,0,0.0517253,0.274527,74.621371,1307.086,0.755161,0.869,-4.912457,0,0.027808,0.0107756,0,0.0692593,0.367587,99.916751,1750.166,1,-5.653,0,0.032,0.0124,0,0.0797,0.423,114.979,2014,31.956409,0,-0.180896,-0.0700972,0,-0.4505441,-2.391219,-649.976287,-11385.142,0,0,0,0,0,0,0,0,0.001024,0.0003968,0,0.0025504,0.013536,3.679328,64.448,0.00015376,0,0.00098828,0.0052452,1.4257396,24.9736,0,0,0,0,0,0.00635209,0.0337131,9.1638263,160.5158,0.178929,48.636117,851.922,13220.17044,231567.706,4056196,-25071.93104,-7415.536321,0,0,1,0,0
55,1,0.689,0.737,10,-5.372,0,0.079,0.00348,0,0.0559,0.749,121.998,2014,0.474721,0.507793,6.89,-3.701308,0,0.054431,0.00239772,0,0.0385151,0.516061,84.056622,1387.646,0.543169,7.37,-3.959164,0,0.058223,0.00256476,0,0.0411983,0.552013,89.912526,1484.318,100,-53.72,0,0.79,0.0348,0,0.559,7.49,1219.98,20140,28.858384,0,-0.424388,-0.01869456,0,-0.3002948,-4.023628,-655.373256,-10819.208,0,0,0,0,0,0,0,0,0.006241,0.00027492,0,0.0044161,0.059171,9.637842,159.106,1.21E-05,0,0.000194532,0.00260652,0.42455304,7.00872,0,0,0,0,0,0.00312481,0.0418691,6.8196882,112.5826,0.561001,91.376502,1508.486,14883.512,245703.972,4056196,-10920.46692,10754.10613,0,0,1,0,0
56,1,0.49,0.315,1,-7.682,1,0.03,0.597,0,0.082,0.316,101.962,2014,0.2401,0.15435,0.49,-3.76418,0.49,0.0147,0.29253,0,0.04018,0.15484,49.96138,986.86,0.099225,0.315,-2.41983,0.315,0.00945,0.188055,0,0.02583,0.09954,32.11803,634.41,1,-7.682,1,0.03,0.597,0,0.082,0.316,101.962,2014,59.013124,-7.682,-0.23046,-4.586154,0,-0.629924,-2.427512,-783.272084,-15471.548,1,0.03,0.597,0,0.082,0.316,101.962,2014,0.0009,0.01791,0,0.00246,0.00948,3.05886,60.42,0.356409,0,0.048954,0.188652,60.871314,1202.358,0,0,0,0,0,0.006724,0.025912,8.360884,165.148,0.099856,32.219992,636.424,10396.24944,205351.468,4056196,-51412.07978,-7309.642346,0,0,1,0,0
57,1,0.594,0.799,8,-5.805,1,0.0346,0.00239,0,0.133,0.416,134.998,2014,0.352836,0.474606,4.752,-3.44817,0.594,0.0205524,0.00141966,0,0.079002,0.247104,80.188812,1196.316,0.638401,6.392,-4.638195,0.799,0.0276454,0.00190961,0,0.106267,0.332384,107.863402,1609.186,64,-46.44,8,0.2768,0.01912,0,1.064,3.328,1079.984,16112,33.698025,-5.805,-0.200853,-0.01387395,0,-0.772065,-2.41488,-783.66339,-11691.27,1,0.0346,0.00239,0,0.133,0.416,134.998,2014,0.00119716,8.27E-05,0,0.0046018,0.0143936,4.6709308,69.6844,5.71E-06,0,0.00031787,0.00099424,0.32264522,4.81346,0,0,0,0,0,0.017689,0.055328,17.954734,267.862,0.173056,56.159168,837.824,18224.46,271885.972,4056196,15494.42781,6892.216755,0,0,1,0,0
