57,1,0.662,0.908,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,2002,0.438244,0.601096,0.662,-3.153768,0,0.0297238,0.0334972,0,0.0336296,0.640154,99.260942,1325.324,0.824464,0.908,-4.325712,0,0.0407692,0.0459448,0,0.0461264,0.878036,136.146428,1817.816,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,2002,22.695696,0,-0.2139036,-0.2410584,0,-0.2420112,-4.606788,-714.318924,-9537.528,0,0,0,0,0,0,0,0,0.00201601,0.00227194,0,0.00228092,0.0434183,6.7323509,89.8898,0.00256036,0,0.00257048,0.0489302,7.5870146,101.3012,0,0,0,0,0,0.00258064,0.0491236,7.6170028,101.7016,0.935089,144.992947,1935.934,22482.30348,300181.882,4008004,57630.41461,31381.00245,1,57
58,1,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,2002,0.506944,0.613744,3.56,-3.283744,0,0.0269136,0.03738,0,0.066216,0.576008,67.676312,1425.424,0.743044,4.31,-3.975544,0,0.0325836,0.045255,0,0.080166,0.697358,81.933962,1725.724,25,-23.06,0,0.189,0.2625,0,0.465,4.045,475.255,10010,21.270544,0,-0.1743336,-0.24213,0,-0.428916,-3.731108,-438.375212,-9233.224,0,0,0,0,0,0,0,0,0.00142884,0.0019845,0,0.0035154,0.0305802,3.5929278,75.6756,0.00275625,0,0.0048825,0.0424725,4.9901775,105.105,0,0,0,0,0,0.008649,0.075237,8.839743,186.186,0.654481,76.896259,1619.618,9034.692601,190292.102,4008004,-52942.52759,30004.04616,1,71
59,1,0.625,0.925,0,-4.435,1,0.342,0.0421,0,0.865,0.515,172.017,2002,0.390625,0.578125,0,-2.771875,0.625,0.21375,0.0263125,0,0.540625,0.321875,107.510625,1251.25,0.855625,0,-4.102375,0.925,0.31635,0.0389425,0,0.800125,0.476375,159.115725,1851.85,0,0,0,0,0,0,0,0,0,0,19.669225,-4.435,-1.51677,-0.1867135,0,-3.836275,-2.284025,-762.895395,-8878.87,1,0.342,0.0421,0,0.865,0.515,172.017,2002,0.116964,0.0143982,0,0.29583,0.17613,58.829814,684.684,0.00177241,0,0.0364165,0.0216815,7.2419157,84.2842,0,0,0,0,0,0.748225,0.445475,148.794705,1731.73,0.265225,88.588755,1031.03,29589.84829,344378.034,4008004,102329.884,31938.00176,1,48
60,1,0.706,0.713,0,-5.512,0,0.0301,0.0596,0,0.132,0.544,102.037,2002,0.498436,0.503378,0,-3.891472,0,0.0212506,0.0420776,0,0.093192,0.384064,72.038122,1413.412,0.508369,0,-3.930056,0,0.0214613,0.0424948,0,0.094116,0.387872,72.752381,1427.426,0,0,0,0,0,0,0,0,0,0,30.382144,0,-0.1659112,-0.3285152,0,-0.727584,-2.998528,-562.427944,-11035.024,0,0,0,0,0,0,0,0,0.00090601,0.00179396,0,0.0039732,0.0163744,3.0713137,60.2602,0.00355216,0,0.0078672,0.0324224,6.0814052,119.3192,0,0,0,0,0,0.017424,0.071808,13.468884,264.264,0.295936,55.508128,1089.088,10411.54937,204278.074,4008004,-39054.39945,30518.86147,1,75
61,1,0.626,0.8,9,-5.085,0,0.0611,0.0313,0,0.0587,0.737,145.839,2002,0.391876,0.5008,5.634,-3.18321,0,0.0382486,0.0195938,0,0.0367462,0.461362,91.295214,1253.252,0.64,7.2,-4.068,0,0.04888,0.02504,0,0.04696,0.5896,116.6712,1601.6,81,-45.765,0,0.5499,0.2817,0,0.5283,6.633,1312.551,18018,25.857225,0,-0.3106935,-0.1591605,0,-0.2984895,-3.747645,-741.591315,-10180.17,0,0,0,0,0,0,0,0,0.00373321,0.00191243,0,0.00358657,0.0450307,8.9107629,122.3222,0.00097969,0,0.00183731,0.0230681,4.5647607,62.6626,0,0,0,0,0,0.00344569,0.0432619,8.5607493,117.5174,0.543169,107.483343,1475.474,21269.01392,291969.678,4008004,49550.22844,30512.82847,1,48
62,1,0.446,0.728,7,-5.663,1,0.0463,0.0492,0,0.0316,0.562,79.648,2002,0.198916,0.324688,3.122,-2.525698,0.446,0.0206498,0.0219432,0,0.0140936,0.250652,35.523008,892.892,0.529984,5.096,-4.122664,0.728,0.0337064,0.0358176,0,0.0230048,0.409136,57.983744,1457.456,49,-39.641,7,0.3241,0.3444,0,0.2212,3.934,557.536,14014,32.069569,-5.663,-0.2621969,-0.2786196,0,-0.1789508,-3.182606,-451.046624,-11337.326,1,0.0463,0.0492,0,0.0316,0.562,79.648,2002,0.00214369,0.00227796,0,0.00146308,0.0260206,3.6877024,92.6926,0.00242064,0,0.00155472,0.0276504,3.9186816,98.4984,0,0,0,0,0,0.00099856,0.0177592,2.5168768,63.2632,0.315844,44.762176,1125.124,6343.803904,159455.296,4008004,-83841.04103,29451.64634,1,49
63,1,0.749,0.531,7,-6.636,1,0.0324,0.0549,0,0.237,0.317,97.022,2002,0.561001,0.397719,5.243,-4.970364,0.749,0.0242676,0.0411201,0,0.177513,0.237433,72.669478,1499.498,0.281961,3.717,-3.523716,0.531,0.0172044,0.0291519,0,0.125847,0.168327,51.518682,1063.062,49,-46.452,7,0.2268,0.3843,0,1.659,2.219,679.154,14014,44.036496,-6.636,-0.2150064,-0.3643164,0,-1.572732,-2.103612,-643.837992,-13285.272,1,0.0324,0.0549,0,0.237,0.317,97.022,2002,0.00104976,0.00177876,0,0.0076788,0.0102708,3.1435128,64.8648,0.00301401,0,0.0130113,0.0174033,5.3265078,109.9098,0,0,0,0,0,0.056169,0.075129,22.994214,474.474,0.100489,30.755974,634.634,9413.268484,194238.044,4008004,-48973.852,29665.97121,1,48
64,1,0.607,0.76,0,-5.229,1,0.0482,0.0745,0,0.0595,0.805,88.059,2002,0.368449,0.46132,0,-3.174003,0.607,0.0292574,0.0452215,0,0.0361165,0.488635,53.451813,1215.214,0.5776,0,-3.97404,0.76,0.036632,0.05662,0,0.04522,0.6118,66.92484,1521.52,0,0,0,0,0,0,0,0,0,0,27.342441,-5.229,-0.2520378,-0.3895605,0,-0.3111255,-4.209345,-460.460511,-10468.458,1,0.0482,0.0745,0,0.0595,0.805,88.059,2002,0.00232324,0.0035909,0,0.0028679,0.038801,4.2444438,96.4964,0.00555025,0,0.00443275,0.0599725,6.5603955,149.149,0,0,0,0,0,0.00354025,0.0478975,5.2395105,119.119,0.648025,70.887495,1611.61,7754.387481,176294.118,4008004,-67148.93116,30300.32984,1,70
65,1,0.42,0.438,5,-8.402,1,0.051,0.256,0.000117,0.0963,0.149,87.986,2002,0.1764,0.18396,2.1,-3.52884,0.42,0.02142,0.10752,4.91E-05,0.040446,0.06258,36.95412,840.84,0.191844,2.19,-3.680076,0.438,0.022338,0.112128,5.12E-05,0.0421794,0.065262,38.537868,876.876,25,-42.01,5,0.255,1.28,0.000585,0.4815,0.745,439.93,10010,70.593604,-8.402,-0.428502,-2.150912,-0.000983034,-0.8091126,-1.251898,-739.258372,-16820.804,1,0.051,0.256,0.000117,0.0963,0.149,87.986,2002,0.002601,0.013056,5.97E-06,0.0049113,0.007599,4.487286,102.102,0.065536,3.00E-05,0.0246528,0.038144,22.524416,512.512,1.37E-08,1.13E-05,1.74E-05,0.010294362,0.234234,0.00927369,0.0143487,8.4730518,192.7926,0.022201,13.109914,298.298,7741.536196,176147.972,4008004,-67215.51036,29538.25808,1,52
66,1,0.69,0.8,10,-5.407,0,0.044,0.0749,0,0.0848,0.663,146.147,2002,0.4761,0.552,6.9,-3.73083,0,0.03036,0.051681,0,0.058512,0.45747,100.84143,1381.38,0.64,8,-4.3256,0,0.0352,0.05992,0,0.06784,0.5304,116.9176,1601.6,100,-54.07,0,0.44,0.749,0,0.848,6.63,1461.47,20020,29.235649,0,-0.237908,-0.4049843,0,-0.4585136,-3.584841,-790.216829,-10824.814,0,0,0,0,0,0,0,0,0.001936,0.0032956,0,0.0037312,0.029172,6.430468,88.088,0.00561001,0,0.00635152,0.0496587,10.9464103,149.9498,0,0,0,0,0,0.00719104,0.0562224,12.3932656,169.7696,0.439569,96.895461,1327.326,21358.94561,292586.294,4008004,50195.29862,30394.6634,1,47
